source_labware,dest_labware,num_samples,repeat,unoptimized,rowwise,greedy,VRP
384,96,955,3,1601,1150,1569.0,904
384,384,379,1,615,535,641.0,454
384,384,763,1,1298,986,1254.0,826
384,384,1147,1,1984,1414,1843.0,1185
384,384,1531,1,2662,1827,2388.0,1542
384,384,1915,1,3315,2223,2954.0,1860
384,384,2299,1,3998,2639,3500.0,2253
384,384,2683,1,4647,3067,4058.0,2571
384,384,3067,1,5308,3471,4599.0,2939
384,384,3451,1,5973,3773,5116.0,3249
384,384,3835,1,6644,4200,5673.0,3671
384,384,379,2,592,498,604.0,429
384,384,763,2,1288,989,1249.0,827
384,384,1147,2,1955,1386,1823.0,1168
384,384,1531,2,2595,1776,2361.0,1514
384,384,1915,2,3316,2253,2954.0,1856
384,384,2299,2,3983,2650,3499.0,2214
384,384,2683,2,4534,2936,3973.0,2516
384,384,3067,2,5306,3426,4584.0,2906
384,384,3451,2,5919,3739,5124.0,3247
384,384,3835,2,6631,4193,5659.0,3734
384,384,379,3,612,515,635.0,447
384,384,763,3,1310,969,1245.0,830
384,384,1147,3,1982,1433,1834.0,1193
384,384,1531,3,2568,1769,2326.0,1489
384,384,1915,3,3293,2239,2942.0,1873
384,384,2299,3,3924,2608,3432.0,2185
384,384,2683,3,4651,3074,4060.0,2560
384,384,3067,3,5323,3456,4539.0,2922
384,384,3451,3,5975,3790,5089.0,3271
384,384,3835,3,6598,4237,5655.0,3674
